name,governmentId,email,debtAmount,debtDueDate,debtId
John Doe,5082557924672,johndoe@kanastra.com.br,100.00,2022-10-12,8291
Chaylen Funkhouser,8577650678544,chayl-funk@arvinmeritor.info,9100.01,2024-05-06,508900865
Derain Saylor,5002248253614,dera_sa@acusage.net,150.02,2024-10-09,5266913722
Dervla Prewitt,4958272766466,de_pr@progressenergyinc.info,5099.00,2025-03-31,4740200169
Dharma Petrey,938494600585,dha-pet@arketmay.com,15.99,2025-07-05,9124890841
Augusta Lucchesi,2791809008739,august-lucch@consolidated-farm-research.net,16.00,2025-11-12,2965512974
Vanni Keel,5574883732605,van_keel@diaperstack.com,21399.00,2024-05-10,8867172761
Wynford Howes,6939602659774,wynfordho@diaperstack.com,377.00,2023-03-08,7618827189
Emlyn Suttles,7264409352155,em.sutt@consolidated-farm-research.net,8172.00,2024-02-26,6129999041
Rehan Judy,6923143957977,reh-jud@arketmay.com,7721.00,2025-08-06,7215362916
Nat Chichester,4653794768150,nat_chicheste@autozone-inc.info,39484.00,2024-10-27,4276746994
Jacqui Holston,3300069467113,jacqu.holst@consolidated-farm-research.net,7300.00,2024-10-12,1499698202
Venec Kavanagh,8699754530630,vene.kavanagh@progressenergyinc.info,9339.00,2025-09-23,7522117864
Rainbow Giddings,3270059865262,rai.gi@arvinmeritor.info,107.00,2024-06-17,9726500395
Gerry Bowes,9112178326482,ge_bow@diaperstack.com,1187.00,2025-04-30,3126900783
Tilford Prewitt,8697048809011,tilfo_pre@arvinmeritor.info,857.00,2023-02-14,4213124576
Rue Depalma,5148053248862,rue_depalma@autozone-inc.info,8857.00,2025-11-22,2780548263
Kingsley Gajewski,8258452922914,king.gajews@egl-inc.info,419342.00,2025-09-05,6612333749
Lolaksi Saenz,1065870787542,lolaksi.sa@arvinmeritor.info,7166.00,2024-07-29,7850103434
Gagan Knop,362698801930,gaga.kno@arvinmeritor.info,7400.00,2024-05-21,183126682
Rewa Adamo,6976204050201,re.ada@autozone-inc.info,2576.00,2023-06-11,9213923292
Agilard Placencia,9364577090858,ag_placenc@egl-inc.info,634.00,2025-11-07,7736691214
Sasha Stringfield,3043841956526,sa-str@consolidated-farm-research.net,39491.00,2023-05-09,6044167210
Ronak Carlock,353830172647,rocarlo@arketmay.com,6318.00,2023-11-23,233234082
Leewana Tracy,9650135622944,leew-tracy@autozone-inc.info,9746.00,2023-09-04,8811330092
Fagan Canter,5319206692922,fagan.canter@acusage.net,9712.00,2023-06-30,4314874808
Simonides Reichard,9411680741984,simon_reich@diaperstack.com,7714.00,2024-07-30,1646659352
Chelsi Wiggin,3219765037244,chel.wiggi@careful-organics.org,1563.00,2025-10-10,772837899
Madeira Greeley,5709791302647,magre@acusage.net,8590.00,2024-02-05,4234781331
Nediva Reichard,1222705910787,nediv.reich@diaperstack.com,17306.00,2024-07-22,8237318435
Alonsa Arms,761932841368,alonsa.arms@consolidated-farm-research.net,2524.00,2023-09-20,6871310454
Estes Eno,2736106731810,esten@arketmay.com,4425.00,2024-10-02,3701053567
Magnolia Petrey,4094914743999,magnolia-pe@careful-organics.org,3497.00,2023-12-03,6991686284
Ronnie Deoliveira,1442704806398,ronn_deol@arvinmeritor.info,2748.00,2024-07-09,1078820830
Lytton Holzer,8754591663052,ly-holze@acusage.net,8070.00,2023-05-24,6172596123
Ronak Gust,6492866938294,ron.gust@egl-inc.info,5805.00,2024-11-07,1382653751
Zadok Carraway,4838476484528,zadok.carr@egl-inc.info,57123.00,2023-04-17,2671658716
Agilard Mcgrath,5780050607251,agilard.mcgr@acusage.net,6943.00,2025-12-29,9555107901
Waseme Tavarez,707346329649,wasem.tavar@autozone-inc.info,8921.00,2025-12-08,2381608240
Nat Harvill,1887806015932,natharv@progressenergyinc.info,6818.00,2025-09-26,8130700891
Poonam Banes,246834130219,poo.banes@careful-organics.org,6719.00,2023-04-22,6540188270
Zafar Kane,5774538503980,zafakane@consolidated-farm-research.net,40285.00,2024-02-07,2049865474
Nat Sandstrom,7998379292044,nat.sands@progressenergyinc.info,8406.00,2023-07-27,5595809086
Nadezda Dade,4960110929740,nadedade@diaperstack.com,3904.00,2024-04-22,773094908
Hertha Morais,5284832227142,hemorais@careful-organics.org,9978.00,2023-04-26,7752444149
Rayelle Reichard,8079641855769,rayell-reic@diaperstack.com,9364.00,2024-11-21,7759138671
Fanchon Sherer,4554557233295,fancho-she@progressenergyinc.info,4325.00,2025-09-20,7407197133
Sorcha Cady,405695655110,sorch.cad@consolidated-farm-research.net,8142.00,2024-06-16,6085307220
Indu Gregson,8480051195280,in-gr@diaperstack.com,2793.00,2025-01-25,1983635368
Inger Harland,2365053050435,ing_har@autozone-inc.info,5378.00,2025-08-24,5986403271
Avantika Gajewski,6454804421395,av-gaj@autozone-inc.info,6305.00,2025-10-26,6617867752
